cik,year
0000824142,2010
0000824142,2011
0000824142,2012
0000824142,2013
0000824142,2014
0000824142,2016
0000824142,2017
0000824142,2018
0000824142,2019
0000824142,2020
0000824142,2021
0000824142,2022
0000712034,2018
0000712034,2019
0000712034,2020
0000712034,2021
0000712034,2022
0001368514,2015
0001368514,2016
0001368514,2017
0001368514,2018
0001368514,2019
0001368514,2020
0001368514,2021
0000880266,2009
0000880266,2010
0000880266,2011
0000880266,2012
0000880266,2013
0000880266,2014
0000880266,2015
0000792977,2008
0000792977,2009
0000792977,2010
0000792977,2011
0000792977,2012
0000792977,2013
0000792977,2014
0000792977,2015
0000792977,2016
0000792977,2017
0000792977,2018
0000792977,2019
0001023024,2012
0001023024,2013
0001023024,2014
0001023024,2015
0001023024,2016
0001023024,2017
0001023024,2018
0001081078,2009
0001081078,2010
0001081078,2011
0001081078,2012
0001081078,2013
0001081078,2014
0001081078,2015
0000859163,2006
0000859163,2007
0000859163,2008
0000859163,2009
0000859163,2010
0000859163,2011
0000859163,2012
0000859163,2013
0000859163,2014
0000859163,2015
0000859163,2016
0000859163,2017
0000859163,2018
0001051627,2009
0001051627,2010
0001051627,2011
0001051627,2012
0001051627,2013
0001051627,2014
0001051627,2015
0000008947,2015
0000008947,2016
0000008947,2017
0000008947,2018
0000008947,2019
0000008947,2020
0000008947,2021
0000008947,2022
0001551152,2012
0001551152,2013
0001551152,2014
0001551152,2015
0001551152,2016
0001551152,2017
0001551152,2018
0001551152,2019
0001551152,2020
0001551152,2021
0000318306,2007
0000318306,2008
0000318306,2009
0000318306,2010
0000318306,2011
0000318306,2012
0000318306,2013
0000318306,2014
0000318306,2015
0000318306,2016
0000318306,2017
0000318306,2018
0000318306,2019
0000318306,2020
0000318306,2021
0000318306,2022
0000815094,2011
0000815094,2012
0000815094,2013
0000815094,2014
0000815094,2015
0000815094,2016
0000815094,2017
0001651235,2014
0001651235,2015
0001651235,2016
0001651235,2017
0001651235,2018
0001651235,2019
0001651235,2020
0001070494,2008
0001070494,2009
0001070494,2010
0001070494,2011
0001070494,2012
0001070494,2013
0001070494,2014
0001070494,2015
0001070494,2016
0001070494,2017
0001070494,2018
0001070494,2019
0001070494,2020
0001070494,2021
0001070494,2022
0001280600,2013
0001280600,2014
0001280600,2015
0001280600,2016
0001280600,2017
0001280600,2018
0001280600,2019
0001280600,2020
0001138723,2010
0001138723,2011
0001138723,2012
0001138723,2013
0001138723,2014
0001138723,2015
0001138723,2016
0001138723,2017
0000817979,2008
0000817979,2009
0000817979,2010
0000817979,2011
0000817979,2012
0000817979,2013
0000817979,2014
0001301501,2012
0001301501,2013
0001301501,2014
0001301501,2015
0001301501,2016
0001301501,2017
0001301501,2018
0001069308,2016
0001069308,2017
0001069308,2018
0001069308,2019
0001069308,2020
0001069308,2021
0001069308,2022
0001427925,2014
0001427925,2015
0001427925,2016
0001427925,2017
0001427925,2018
0001427925,2019
0001427925,2020
0001427925,2021
0001427925,2022
0000861838,2013
0000861838,2014
0000861838,2015
0000861838,2016
0000861838,2017
0000861838,2018
0000861838,2019
0001070336,2014
0001070336,2015
0001070336,2016
0001070336,2017
0001070336,2018
0001557746,2014
0001557746,2015
0001557746,2016
0001557746,2017
0001557746,2018
0001557746,2019
0001557746,2020
0001557746,2021
0001557746,2022
0001130258,2010
0001130258,2011
0001130258,2012
0000880984,2008
0000880984,2009
0000880984,2010
0000880984,2011
0000880984,2012
0000880984,2013
0000880984,2014
0000926282,2010
0000926282,2011
0000926282,2012
0000926282,2013
0000926282,2014
0000926282,2015
0000926282,2016
0001388320,2015
0001388320,2016
0001388320,2017
0001388320,2018
0001388320,2019
0001388320,2020
0001388320,2021
0001388320,2022
0001144215,2007
0001144215,2008
0001144215,2009
0001144215,2010
0001144215,2011
0001144215,2012
0001144215,2013
0001144215,2014
0001144215,2015
0001144215,2016
0001144215,2017
0001144215,2018
0001144215,2019
0001144215,2020
0001144215,2021
0001144215,2022
0001672013,2018
0001672013,2019
0001672013,2020
0001672013,2021
0001672013,2022
0001522860,2018
0001522860,2019
0001522860,2020
0001522860,2021
0001522860,2022
0001328143,2012
0001328143,2013
0001328143,2014
0001328143,2015
0001328143,2016
0001328143,2017
0001328143,2018
0001328143,2019
0001328143,2020
0000002178,2009
0000002178,2010
0000002178,2011
0000002178,2012
0000002178,2013
0000002178,2014
0000002178,2015
0000002178,2016
0000002178,2017
0000002178,2018
0000002178,2019
0000002178,2020
0000002178,2021
0001478320,2018
0001478320,2019
0001478320,2020
0001478320,2021
0001478320,2022
0001040470,2020
0001040470,2021
0001040470,2022
0001515156,2008
0001515156,2009
0001515156,2010
0001515156,2011
0001515156,2012
0001515156,2013
0001515156,2014
0001515156,2018
0001515156,2019
0001515156,2020
0001515156,2021
0001515156,2022
0000738214,2013
0000738214,2014
0000738214,2015
0000738214,2016
0000738214,2017
0000738214,2018
0000738214,2019
0000738214,2020
0000738214,2021
0000738214,2022
0001337553,2013
0001337553,2014
0001337553,2015
0001337553,2016
0001337553,2017
0001337553,2018
0001337553,2019
0001337553,2020
0001337553,2021
0001673985,2014
0001673985,2015
0001673985,2016
0001673985,2017
0001673985,2018
0001673985,2019
0001673985,2020
0001673985,2021
0001487990,2009
0001487990,2010
0001487990,2011
0001487990,2012
0001487990,2013
0001372414,2016
0001372414,2017
0001372414,2018
0000040888,2008
0000040888,2009
0000040888,2010
0000040888,2011
0000040888,2012
0000040888,2013
0000040888,2014
0000927003,2008
0000927003,2009
0000927003,2010
0000927003,2011
0000927003,2012
0000927003,2013
0000927003,2014
0000927003,2015
0000927003,2016
0000927003,2017
0000927003,2018
0000927003,2019
0000927003,2020
0000927003,2021
0000927003,2022
0000882291,2018
0000882291,2019
0000882291,2020
0000882291,2021
0000882291,2022
0000913077,2008
0000913077,2009
0000913077,2010
0000913077,2011
0000913077,2012
0000913077,2013
0000913077,2014
0000913077,2015
0001138776,2013
0001138776,2014
0001138776,2015
0001138776,2016
0001138776,2017
0001138776,2018
0001090872,2011
0001090872,2012
0001090872,2013
0001090872,2014
0001090872,2015
0001090872,2016
0001090872,2017
0001090872,2018
0001090872,2019
0001090872,2020
0001090872,2021
0001090872,2022
0001261249,2018
0001261249,2019
0001261249,2020
0001261249,2021
0001261249,2022
0001439222,2012
0001439222,2013
0001439222,2014
0001439222,2015
0001439222,2016
0001439222,2017
0001439222,2018
0001439222,2019
0001592016,2014
0001592016,2015
0001592016,2016
0001592016,2017
0001592016,2018
0001592016,2019
0001592016,2020
0001631650,2014
0001631650,2015
0001631650,2016
0001631650,2017
0001631650,2018
0001631650,2019
0000946644,2014
0000946644,2015
0000946644,2016
0000946644,2017
0000946644,2018
0000946644,2019
0000946644,2020
0000003116,2008
0000003116,2009
0000003116,2010
0000003116,2011
0000003116,2012
0000003116,2013
0000003116,2014
0000003116,2015
0000003116,2016
0000003116,2017
0000003116,2018
0000003116,2019
0001517022,2013
0001517022,2014
0001517022,2015
0001517022,2016
0001517022,2017
0001517022,2018
0001517022,2019
0001662524,2015
0001662524,2016
0001662524,2017
0001662524,2018
0001662524,2019
0000897077,2010
0000897077,2011
0000897077,2012
0000897077,2013
0000897077,2014
0000897077,2018
0000897077,2019
0000897077,2020
0000897077,2021
0000897077,2022
0001065087,2008
0001065087,2009
0001065087,2010
0001065087,2011
0001065087,2012
0001065087,2013
0001065087,2014
0000915913,2007
0000915913,2008
0000915913,2009
0000915913,2010
0000915913,2011
0000915913,2012
0000915913,2013
0001322505,2015
0001322505,2016
0001322505,2017
0001322505,2018
0001322505,2019
0001322505,2020
0001322505,2021
0001675149,2015
0001675149,2016
0001675149,2017
0001675149,2018
0001675149,2019
0001675149,2020
0001675149,2021
0001423824,2014
0001423824,2015
0001423824,2016
0001423824,2017
0001423824,2018
0001145460,2006
0001145460,2007
0001145460,2008
0001145460,2009
0001145460,2010
0001145460,2011
0001145460,2012
0001145460,2013
0001145460,2014
0001145460,2015
0001344413,2008
0001344413,2009
0001344413,2010
0001344413,2011
0001344413,2012
0001344413,2013
0001344413,2014
0001097149,2007
0001097149,2008
0001097149,2009
0001097149,2010
0001097149,2011
0001097149,2012
0001097149,2013
0001097149,2014
0001097149,2015
0001097149,2016
0001097149,2017
0001097149,2018
0001097149,2019
0001097149,2020
0001097149,2021
0001097149,2022
0001267602,2013
0001267602,2014
0001267602,2015
0001267602,2016
0001267602,2017
0001267602,2018
0001267602,2019
0001267602,2020
0001267602,2021
0001564824,2018
0001564824,2019
0001564824,2020
0001564824,2021
0001564824,2022
0001018963,2015
0001018963,2016
0001018963,2017
0001018963,2018
0001018963,2019
0001018963,2020
0001018963,2021
0000866291,2020
0000866291,2021
0000866291,2022
0001122342,2009
0001122342,2010
0001122342,2011
0001122342,2012
0001122342,2013
0001122342,2014
0001122342,2015
0000046129,2009
0000046129,2010
0000046129,2011
0000046129,2012
0000046129,2013
0000046129,2014
0000046129,2015
0001411207,2010
0001411207,2011
0001411207,2012
0001411207,2013
0001411207,2014
0001737287,2017
0001737287,2018
0001737287,2019
0001737287,2020
0001737287,2021
0001737287,2022
0001178670,2012
0001178670,2013
0001178670,2014
0001178670,2015
0001178670,2016
0001178670,2017
0001178670,2018
0001350653,2008
0001350653,2009
0001350653,2010
0001350653,2011
0001350653,2012
0001350653,2013
0001350653,2014
0001626199,2018
0001626199,2019
0001626199,2020
0001626199,2021
0001626199,2022
0000768251,2012
0000768251,2013
0000768251,2014
0001757715,2020
0001757715,2021
0001757715,2022
0001374535,2010
0001374535,2011
0001374535,2012
0001374535,2013
0001374535,2014
0000764180,2014
0000764180,2015
0000764180,2016
0000764180,2017
0000764180,2018
0000764180,2019
0000764180,2020
0000928465,2009
0000928465,2010
0000928465,2011
0000928465,2012
0000928465,2013
0000928465,2014
0000928465,2015
0000928465,2016
0000928465,2017
0000928465,2018
0000928465,2019
0001043186,2009
0001043186,2010
0001043186,2011
0001043186,2012
0001043186,2013
0001043186,2014
0001043186,2015
0000350832,2008
0000350832,2009
0000350832,2010
0000350832,2011
0000350832,2012
0000350832,2013
0001344596,2009
0001344596,2010
0001344596,2011
0001344596,2012
0001344596,2013
0001344596,2014
0001344596,2015
0000880807,2009
0000880807,2010
0000880807,2011
0000880807,2012
0000880807,2013
0000880807,2014
0000880807,2015
0000005981,2008
0000005981,2009
0000005981,2010
0000005981,2011
0000005981,2012
0000005981,2013
0000005981,2014
0001037868,2008
0001037868,2009
0001037868,2010
0001037868,2011
